region_id,lat,lon,city_name
397693,42.572374,-77.678302,"North Dansville, NY"
32671,39.980594,-76.421619,"Manor, PA"
172353,38.62226,-90.455384,"Country Life Acres, MO"
55482,34.0253797,-87.7583574,"Brilliant, AL"
53138,45.6648057,-123.1637731,"Manning, OR"
202671,39.613274,-83.611097,"Octa, OH"
14453,38.316031,-95.111564,"Walker, KS"
45403,30.056035,-90.6192554,"Garyville, LA"
51724,32.0804373,-92.660428,"Dodson, LA"
8152,41.0800105,-87.8093095,"Aroma Park, IL"
50690,34.5420393,-91.7840227,"Allport, AR"
33453,41.533013,-88.383602,"Plattville, IL"
4172,38.875356,-104.813228,"Colorado Springs, CO"
52998,34.7465071,-92.2896267,"Little Rock, AR"
781837,33.9798472,-117.4515754,"Jurupa Valley, CA"
13150,34.195054,-119.180285,"Oxnard, CA"
5534,34.6981064,-118.1366153,"Lancaster, CA"
13594,38.760442,-121.286318,"Roseville, CA"
46179,42.7070354,-71.1631137,"Lawrence, MA"
47019,34.1476507,-118.1441551,"Pasadena, CA"
51518,37.9768525,-122.0335624,"Concord, CA"
17943,42.038314,-88.290854,"Elgin, IL"
16780,37.97465,-121.791644,"Antioch, CA"
4679,38.882334,-77.1710914,"Falls Church, VA"
53360,29.6185669,-95.5377215,"Missouri City, TX"
53636,33.9092802,-118.0849169,"Norwalk, CA"
38047,33.596218,-83.849795,"Covington, GA"
52852,33.6680772,-117.3272615,"Lake Elsinore, CA"
34780,33.757813,-118.002155,"Westminster, CA"
5621,35.8240265,-80.2533838,"Lexington, NC"
7081,38.9959461,-77.0276231,"Silver Spring, MD"
217168,41.243069,-75.875995,"Wilkes-Barre, PA"
41054,35.784718,-80.885975,"Statesville, NC"
40036,40.123111,-75.340205,"Norristown, PA"
10901,42.17425,-75.66273,"Town Of Colesville, NY"
397170,40.279394,-76.047383,"Spring Township, PA"
398978,41.140093,-79.474832,"Piney Township, PA"
398301,39.865577,-75.570342,"Chadds Ford Township, PA"
39931,41.7728699,-88.1479278,"Naperville, IL"
22725,39.13062,-89.492585,"Taylor Springs, IL"
50338,40.5608731,-90.7517996,"Sciota, IL"
37211,33.769805,-84.414581,"Atlanta, GA"
6919,33.7839664,-116.9589086,"San Jacinto, CA"
28485,34.116766,-117.158503,"Highland, CA"
12608,40.662767,-73.470961,"Massapequa, NY"
6043,37.130408,-121.6544974,"Morgan Hill, CA"
7208,35.751179,-86.9300023,"Spring Hill, TN"
40256,39.275245,-81.54509,"Parkersburg, WV"
55287,37.2378875,-76.5080633,"Yorktown, VA"
10552,40.60079,-74.64815,"Bridgewater Township, NJ"
4650,37.9552017,-121.2585567,"Fair Oaks, CA"
48310,46.0667277,-118.339345,"Walla Walla, WA"
28510,40.4776,-74.62682,"Hillsborough Township, NJ"
19212,42.350032,-71.546809,"Marlborough, MA"
21014,41.632895,-93.78089,"Urbandale, IA"
47443,41.6475306,-88.0895061,"Romeoville, IL"
15135,40.718526,-73.560886,"East Meadow, NY"
37362,40.79371,-74.15014,"Belleville, NJ"
9826,34.974532,-92.0165336,"Cabot, AR"
15924,38.576143,-90.671318,"Wildwood, MO"
10768,40.784815,-73.197655,"Central Islip, NY"
54058,42.1618005,-71.0424838,"Randolph, MA"
37145,29.171378,-95.42396,"Angleton, TX"
20468,34.837909,-92.205596,"Sherwood, AR"
5840,40.41483,-74.2295891,"Matawan, NJ"
