"region_id","region_type","region"
"89728","zip","72735; AR; Fayetteville-Springdale-Rogers; Washington County; Goshen"
"89727","zip","72734;AR;Fayetteville-Springdale-Rogers, AR;Gentry;Benton County"
"89725","zip","72732;AR;Fayetteville-Springdale-Rogers, AR;Garfield;Benton County"
"89724","zip","72730;AR;Fayetteville-Springdale-Rogers, AR;Farmington;Washington County"
"89723","zip","72729; AR; Fayetteville-Springdale-Rogers, AR; Washington County; Evansville"
"89721","zip","72727;AR;Fayetteville-Springdale-Rogers, AR;Elkins;Washington County"
"89720","zip","72722;AR;Fayetteville-Springdale-Rogers, AR;Decatur;Benton County"
"89719","zip","72721; AR; Fayetteville-Springdale-Rogers, AR; Madison County; Combs"
"89718","zip","72719;AR;Fayetteville-Springdale-Rogers, AR;Centerton;Benton County"
"89717","zip","72718;AR;Fayetteville-Springdale-Rogers, AR;Cave Springs;Benton County"
"89716","zip","72717; AR; Fayetteville-Springdale-Rogers, AR; Washington County; Canehill"
"89714","zip","72715;AR;Fayetteville-Springdale-Rogers, AR;Bella Vista;Benton County"
"89713","zip","72714;AR;Fayetteville-Springdale-Rogers, AR;Bella Vista;Benton County"
"89712","zip","72712;AR;Fayetteville-Springdale-Rogers, AR;Bentonville;Benton County"
"89710","zip","72704;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89709","zip","72703;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89707","zip","72701;AR;Fayetteville-Springdale-Rogers, AR;Fayetteville;Washington County"
"89706","zip","72687;AR;nan;Yellville;Marion County"
"89705","zip","72686; AR; Russellville, AR; Pope County; Hector"
"89704","zip","72685;AR;Harrison, AR;Western Grove;Newton County"
"89703","zip","72683; AR; Harrison, AR; Newton County; Vendor"
"89702","zip","72682; AR; Marion County"
"89701","zip","72680; AR; Stone County; Onia"
"89700","zip","72679; AR; Russellville; Pope County; Tilly"
"89699","zip","72677; AR; Marion County; Summit"
"89698","zip","72675;AR;nan;Saint Joe;Searcy County"
"89697","zip","72672; AR; Marion County; Pyatt"
"89696","zip","72670; AR; Harrison, AR; Newton County; Kingston"
"89694","zip","72668;AR;nan;Yellville;Marion County"
"89693","zip","72666; AR; Harrison, AR; Newton County; Parthenon"
"89692","zip","72663; AR; Stone County; Onia"
"89691","zip","72662;AR;Harrison, AR;Omaha;Boone County"
"89690","zip","72661;AR;nan;Oakland;Marion County"
"89689","zip","72660; AR; Carroll County; Oak Grove"
"89687","zip","72658;AR;Mountain Home, AR;Norfork;Baxter County"
"89685","zip","72655; AR; Harrison, AR; Newton County; Mount Judea"
"89683","zip","72653;AR;Mountain Home, AR;Mountain Home;Baxter County"
"89682","zip","72651;AR;Mountain Home, AR;Midway;Baxter County"
"89681","zip","72650;AR;nan;nan;Searcy County"
"89680","zip","72648; AR; Harrison, AR; Newton County; Marble Falls"
"89679","zip","72645;AR;nan;Dennard;Searcy County"
"89678","zip","72644;AR;Harrison, AR;Lead Hill;Boone County"
"89677","zip","72642;AR;Mountain Home, AR;Lakeview;Baxter County"
"89676","zip","72641;AR;Harrison, AR;Jasper;Newton County"
"89675","zip","72640; AR; Harrison, AR; Newton County; Hasty"
"89674","zip","72639; AR; Searcy County; Harriet"
"89673","zip","72638;AR;nan;Green Forest;Carroll County"
"89672","zip","72636; AR; Searcy County; Gilbert"
"89671","zip","72635;AR;Mountain Home, AR;Gassville;Baxter County"
"89670","zip","72634;AR;nan;Flippin;Marion County"
"89669","zip","72633;AR;Harrison, AR;Everton;Boone County"
"89668","zip","72632;AR;nan;Eureka Springs;Carroll County"
"89667","zip","72631;AR;nan;Eureka Springs;Carroll County"
"89666","zip","72630; AR; Harrison; Boone County; Diamond City"
"89665","zip","72629; AR; Van Buren County; Dennard"
"89664","zip","72628; AR; Harrison, AR; Newton County; Pelsor"
"89663","zip","72626;AR;nan;Cotter;Marion County"
"89662","zip","72624; AR; Harrison, AR; Newton County; Compton"
"89661","zip","72623; AR; Mountain Home, AR; Baxter County; Clarkridge"
"89660","zip","72619;AR;nan;Bull Shoals;Marion County"
"89659","zip","72617; AR; Mountain Home, AR; Baxter County"
"89658","zip","72616;AR;nan;Berryville;Carroll County"
"89657","zip","72615; AR; Harrison; Boone County; Bergman"
"89655","zip","72611;AR;nan;Alpena;Carroll County"
"89654","zip","72602; AR; Harrison; Boone County"
"89653","zip","72601;AR;Harrison, AR;Harrison;Boone County"
"89652","zip","72587; AR; Izard County; Horseshoe Bend"
"89651","zip","72585; AR; Izard County; Wideman"
"89650","zip","72584; AR; Izard County; Melbourne"
"89649","zip","72583;AR;nan;Sturkie;Fulton County"
"89648","zip","72581;AR;nan;Tumbling Shoals;Cleburne County"
"89647","zip","72579;AR;Batesville, AR;Sulphur Rock;Independence County"
"89646","zip","72578; AR; Fulton County; Sturkie"
"89645","zip","72577; AR; Izard County; Sidney"
"89644","zip","72576;AR;nan;Salem;Fulton County"
"89642","zip","72573; AR; Izard County; Melbourne"
"89641","zip","72572; AR; Lawrence County; Saffell"
"89640","zip","72571; AR; Batesville, AR; Independence County; Rosie"
"89639","zip","72569; AR; Batesville, AR; Sharp County; Poughkeepsie"
"89638","zip","72568;AR;Batesville, AR;Pleasant Plains;Independence County"
"89637","zip","72567; AR; Stone County; Pleasant Grove"
"89636","zip","72566; AR; Izard County; Bexar"
"89635","zip","72565; AR; Izard County; Salem"
"89634","zip","72564; AR; Batesville, AR; Independence County; Oil Trough"
"89633","zip","72562;AR;Batesville, AR;Newark;Independence County"
"89632","zip","72561; AR; Izard County; Batesville"
"89631","zip","72560;AR;nan;Mountain View;Stone County"
"89630","zip","72556;AR;nan;Melbourne;Izard County"
"89629","zip","72555; AR; Stone County; Marcella"
"89628","zip","72554;AR;nan;Mammoth Spring;Fulton County"
"89627","zip","72553; AR; Batesville; Independence County; Magness"
"89626","zip","72550; AR; Batesville, AR; Independence County; Batesville"
"89625","zip","72546; AR; Cleburne County; Drasco"
"89623","zip","72544;AR;Mountain Home, AR;Henderson;Baxter County"
"89622","zip","72543;AR;nan;Heber Springs;Cleburne County"
"89621","zip","72542;AR;Batesville, AR;nan;Sharp County"
"89620","zip","72540; AR; Izard County"
"89619","zip","72539; AR; Fulton County; Glencoe"
"89618","zip","72538; AR; Fulton County; Gepp"
"89617","zip","72537;AR;Mountain Home, AR;Gamaliel;Baxter County"
"89616","zip","72536; AR; Izard County; Horseshoe Bend"
"89615","zip","72534; AR; Batesville, AR; Independence County; Floral"
"89614","zip","72533; AR; Stone County"
"89613","zip","72532; AR; Batesville, AR; Sharp County; Evening Shade"
"89612","zip","72531;AR;nan;Elizabeth;Fulton County"
"89611","zip","72530;AR;nan;Drasco;Cleburne County"
"89610","zip","72529;AR;Batesville, AR;Cherokee Village;Sharp County"
"89609","zip","72528; AR; Izard County; Calico Rock"
"89608","zip","72527; AR; Batesville, AR; Independence County; Desha"
"89605","zip","72524; AR; Batesville, AR; Independence County; Cord"
"89604","zip","72523; AR; Cleburne County; Concord"
"89603","zip","72522; AR; Batesville, AR; Independence County; Charlotte"
"89602","zip","72521;AR;Batesville, AR;Cave City;Sharp County"
"89601","zip","72520; AR; Fulton County; Camp"
"89600","zip","72519;AR;nan;Calico Rock;Izard County"
"89599","zip","72517; AR; Izard County; Brockwell"
"89598","zip","72515; AR; Izard County; Bexar"
"89597","zip","72513;AR;nan;nan;Fulton County"
"89596","zip","72512;AR;nan;Horseshoe Bend;Izard County"
"89594","zip","72501;AR;Batesville, AR;Batesville;Independence County"
"89593","zip","72482;AR;Batesville, AR;Williford;Sharp County"
"89592","zip","72479;AR;Jonesboro, AR;nan;Poinsett County"
"89591","zip","72478; AR; Randolph County; Warm Springs"
"89590","zip","72476;AR;nan;Walnut Ridge;Lawrence County"
"89589","zip","72475; AR; Jonesboro; Poinsett County; Waldenburg"
"89588","zip","72474; AR; Paragould; Greene County"
"89587","zip","72473;AR;nan;Tuckerman;Jackson County"
"89586","zip","72472;AR;Jonesboro, AR;Trumann;Poinsett County"
"89585","zip","72471;AR;nan;Swifton;Jackson County"
"89584","zip","72470; AR; Clay County; Success"
"89583","zip","72469; AR; Lawrence County; Strawberry"
"89581","zip","72466; AR; Batesville, AR; Sharp County; Smithville"
"89579","zip","72464; AR; Clay County; Saint Francis"
"89578","zip","72462; AR; Randolph County; Biggers"
"89577","zip","72461;AR;nan;nan;Clay County"
"89576","zip","72460; AR; Randolph County; Ravenden Springs"
"89575","zip","72459; AR; Lawrence County; Ravenden"
"89574","zip","72458; AR; Lawrence County; Powhatan"
"89573","zip","72457; AR; Lawrence County; Hoxie"
"89572","zip","72456; AR; Clay County"
"89571","zip","72455;AR;nan;Pocahontas;Randolph County"
"89570","zip","72454;AR;nan;Piggott;Clay County"
"89569","zip","72453; AR; Clay County; Knobel"
"89567","zip","72450;AR;Paragould, AR;Paragould;Greene County"
"89566","zip","72449; AR; Randolph County; O'Kean"
"89565","zip","72447;AR;Jonesboro, AR;Monette;Craighead County"
