"indicator_id","region_id","date","value"
"ZSFH","99999","2017-12-31","289778.219140209"
"ZSFH","99999","2017-11-30","286487.973230383"
"ZSFH","99999","2017-10-31","283859.775571734"
"ZSFH","99999","2017-09-30","281927.381027727"
"ZSFH","99999","2017-08-31","278760.128498621"
"ZSFH","99999","2017-07-31","275909.396920695"
"ZSFH","99999","2017-06-30","272321.050166373"
"ZSFH","99999","2017-05-31","270291.142446482"
"ZSFH","99999","2017-04-30","268455.498999971"
"ZSFH","99999","2017-03-31","267578.368106265"
"ZSFH","99999","2017-02-28","267600.21675672"
"ZSFH","99999","2017-01-31","267854.84858404"
"ZSFH","99998","2017-12-31","245272.000173938"
"ZSFH","99998","2017-11-30","244204.307018412"
"ZSFH","99998","2017-10-31","243583.081282427"
"ZSFH","99998","2017-09-30","243239.332465146"
"ZSFH","99998","2017-08-31","242428.273479807"
"ZSFH","99998","2017-07-31","241251.401596609"
"ZSFH","99998","2017-06-30","240008.429024733"
"ZSFH","99998","2017-05-31","238513.580478211"
"ZSFH","99998","2017-04-30","237485.685961631"
"ZSFH","99998","2017-03-31","236771.856404846"
"ZSFH","99998","2017-02-28","237012.176517484"
"ZSFH","99998","2017-01-31","236969.751618629"
"ZSFH","99997","2017-12-31","253146"
"ZSFH","99997","2017-11-30","251721"
"ZSFH","99997","2017-10-31","249891"
"ZSFH","99997","2017-09-30","248058"
"ZSFH","99997","2017-08-31","246292"
"ZSFH","99997","2017-07-31","243629"
"ZSFH","99997","2017-06-30","241339"
"ZSFH","99997","2017-05-31","238856"
"ZSFH","99997","2017-04-30","237041"
"ZSFH","99997","2017-03-31","234616"
"ZSFH","99997","2017-02-28","232718"
"ZSFH","99997","2017-01-31","230892"
"ZSFH","99996","2017-12-31","165746.795215659"
"ZSFH","99996","2017-11-30","165680.851212237"
"ZSFH","99996","2017-10-31","165322.104567776"
"ZSFH","99996","2017-09-30","164882.694381009"
"ZSFH","99996","2017-08-31","164337.856581378"
"ZSFH","99996","2017-07-31","164067.096977106"
"ZSFH","99996","2017-06-30","163580.42079883"
"ZSFH","99996","2017-05-31","162948.641784883"
"ZSFH","99996","2017-04-30","162060.84889519"
"ZSFH","99996","2017-03-31","161005.628680791"
"ZSFH","99996","2017-02-28","159654.907776074"
"ZSFH","99996","2017-01-31","158477.450771522"
"ZSFH","99995","2017-12-31","367515.323333943"
"ZSFH","99995","2017-11-30","365991.601951814"
"ZSFH","99995","2017-10-31","363517.945931532"
"ZSFH","99995","2017-09-30","360674.503108386"
"ZSFH","99995","2017-08-31","356399.24895525"
"ZSFH","99995","2017-07-31","352568.197797772"
"ZSFH","99995","2017-06-30","348820.537956078"
"ZSFH","99995","2017-05-31","345913.182250484"
"ZSFH","99995","2017-04-30","343179.557646782"
"ZSFH","99995","2017-03-31","339664.364377408"
"ZSFH","99995","2017-02-28","337477.230769867"
