"indicator_id","region_id","date","value"
"ZSFH","99997","1997-12-31","95038"
"ZSFH","99997","1997-11-30","94272"
"ZSFH","99997","1997-10-31","93325"
"ZSFH","99997","1997-09-30","92755"
"ZSFH","99997","1997-08-31","91810"
"ZSFH","99995","1997-12-31","155206"
"ZSFH","99995","1997-11-30","154682"
"ZSFH","99995","1997-10-31","154083"
"ZSFH","99995","1997-09-30","152304"
"ZSFH","99995","1997-08-31","151333"
"ZSFH","99995","1997-07-31","149888"
"ZSFH","9999","1997-12-31","92897"
"ZSFH","9999","1997-11-30","92992"
"ZSFH","9999","1997-10-31","92792"
"ZSFH","9999","1997-09-30","92728"
"ZSFH","9999","1997-08-31","92294"
"ZSFH","9999","1997-07-31","91828"
"ZSFH","9999","1997-06-30","91804"
"ZSFH","9999","1997-05-31","91968"
"ZSFH","9999","1997-04-30","92287"
"ZSFH","9999","1997-03-31","91924"
"ZSFH","9999","1997-02-28","91208"
"ZSFH","9999","1997-01-31","90497"
"ZSFH","99968","1997-12-31","135134"
"ZSFH","99968","1997-11-30","134293"
"ZSFH","99968","1997-10-31","133296"
"ZSFH","99968","1997-09-30","132298"
"ZSFH","99968","1997-08-31","131850"
"ZSFH","99968","1997-07-31","131375"
"ZSFH","99965","1997-12-31","197013"
"ZSFH","99965","1997-11-30","198461"
"ZSFH","99965","1997-10-31","199577"
"ZSFH","99965","1997-09-30","200268"
"ZSFH","99965","1997-08-31","201108"
"ZSFH","99965","1997-07-31","202697"
"ZSFH","99965","1997-06-30","203323"
"ZSFH","99965","1997-05-31","201926"
"ZSFH","99965","1997-04-30","199059"
"ZSFH","99965","1997-03-31","196319"
"ZSFH","99965","1997-02-28","194982"
"ZSFH","99965","1997-01-31","193773"
"ZSFH","99964","1997-12-31","196036"
"ZSFH","99964","1997-11-30","197444"
"ZSFH","99964","1997-10-31","198691"
"ZSFH","99964","1997-09-30","199365"
"ZSFH","99964","1997-08-31","200573"
"ZSFH","99964","1997-07-31","202618"
"ZSFH","99964","1997-06-30","203815"
"ZSFH","99964","1997-05-31","202934"
"ZSFH","99964","1997-04-30","200288"
"ZSFH","99964","1997-03-31","197337"
"ZSFH","99964","1997-02-28","195827"
"ZSFH","99964","1997-01-31","194264"
"ZSFH","99963","1997-12-31","155884"
"ZSFH","99963","1997-11-30","156834"
"ZSFH","99963","1997-10-31","157957"
"ZSFH","99963","1997-09-30","158842"
"ZSFH","99963","1997-08-31","159699"
"ZSFH","99963","1997-07-31","160775"
"ZSFH","99963","1997-06-30","161404"
"ZSFH","99963","1997-05-31","160614"
"ZSFH","99963","1997-04-30","158491"
"ZSFH","99963","1997-03-31","156088"
"ZSFH","99963","1997-02-28","154614"
"ZSFH","99963","1997-01-31","153457"
"ZSFH","99962","1997-12-31","176014"
"ZSFH","99962","1997-11-30","176915"
"ZSFH","99962","1997-10-31","177677"
"ZSFH","99962","1997-09-30","178309"
"ZSFH","99962","1997-08-31","179619"
"ZSFH","99962","1997-07-31","181430"
"ZSFH","99962","1997-06-30","182531"
"ZSFH","99962","1997-05-31","181731"
"ZSFH","99962","1997-04-30","179704"
"ZSFH","99962","1997-03-31","177270"
"ZSFH","99962","1997-02-28","176237"
"ZSFH","99962","1997-01-31","175121"
"ZSFH","99961","1997-12-31","149926"
"ZSFH","99961","1997-11-30","150856"
"ZSFH","99961","1997-10-31","151849"
"ZSFH","99961","1997-09-30","152355"
"ZSFH","99961","1997-08-31","153107"
"ZSFH","99961","1997-07-31","154082"
"ZSFH","99961","1997-06-30","154671"
"ZSFH","99961","1997-05-31","153819"
"ZSFH","99961","1997-04-30","151600"
"ZSFH","99961","1997-03-31","149090"
"ZSFH","99961","1997-02-28","147677"
"ZSFH","99961","1997-01-31","146500"
"ZSFH","99960","1997-12-31","193434"
"ZSFH","99960","1997-11-30","192594"
"ZSFH","99960","1997-10-31","190163"
"ZSFH","99960","1997-09-30","186566"
"ZSFH","99960","1997-08-31","183761"
"ZSFH","99960","1997-07-31","183165"
"ZSFH","99960","1997-06-30","183370"
"ZSFH","99960","1997-05-31","182511"
"ZSFH","99960","1997-04-30","180264"
"ZSFH","99960","1997-03-31","178213"
"ZSFH","99960","1997-02-28","176456"
"ZSFH","99960","1997-01-31","175389"
"ZSFH","99959","1997-12-31","160630"
"ZSFH","99959","1997-11-30","157916"
"ZSFH","99959","1997-10-31","154643"
"ZSFH","99959","1997-09-30","151329"
"ZSFH","99959","1997-08-31","148319"
"ZSFH","99959","1997-07-31","145904"
"ZSFH","99959","1997-06-30","143505"
"ZSFH","99959","1997-05-31","144191"
"ZSFH","99959","1997-04-30","144194"
"ZSFH","99959","1997-03-31","144300"
"ZSFH","99959","1997-02-28","143212"
"ZSFH","99959","1997-01-31","142877"
