"indicator_id","region_id","date","value"
"ZSFH","99999","2015-12-31","255999.296499169"
"ZSFH","99999","2015-11-30","254486.906441245"
"ZSFH","99999","2015-10-31","252466.340104097"
"ZSFH","99999","2015-09-30","250162.638805401"
"ZSFH","99999","2015-08-31","248446.679304865"
"ZSFH","99999","2015-07-31","246682.898262977"
"ZSFH","99999","2015-06-30","244281.847652252"
"ZSFH","99999","2015-05-31","241945.747515315"
"ZSFH","99999","2015-04-30","239851.260959452"
"ZSFH","99999","2015-03-31","238990.380595303"
"ZSFH","99999","2015-02-28","238720.839364151"
"ZSFH","99999","2015-01-31","238520.10871315"
"ZSFH","99998","2015-12-31","228683.245222077"
"ZSFH","99998","2015-11-30","228030.374990288"
"ZSFH","99998","2015-10-31","227768.094006003"
"ZSFH","99998","2015-09-30","226578.134456307"
"ZSFH","99998","2015-08-31","224844.437759756"
"ZSFH","99998","2015-07-31","222524.433856179"
"ZSFH","99998","2015-06-30","220589.740032262"
"ZSFH","99998","2015-05-31","218619.208897772"
"ZSFH","99998","2015-04-30","216511.122302506"
"ZSFH","99998","2015-03-31","213679.170583652"
"ZSFH","99998","2015-02-28","211848.583522087"
"ZSFH","99998","2015-01-31","210854.577709262"
"ZSFH","99997","2015-12-31","208236"
"ZSFH","99997","2015-11-30","205967"
"ZSFH","99997","2015-10-31","204205"
"ZSFH","99997","2015-09-30","203502"
"ZSFH","99997","2015-08-31","203001"
"ZSFH","99997","2015-07-31","202786"
"ZSFH","99997","2015-06-30","200590"
"ZSFH","99997","2015-05-31","197933"
"ZSFH","99997","2015-04-30","195142"
"ZSFH","99997","2015-03-31","192889"
"ZSFH","99997","2015-02-28","192088"
"ZSFH","99997","2015-01-31","190836"
"ZSFH","99996","2015-12-31","156773.424389053"
"ZSFH","99996","2015-11-30","156735.810214787"
"ZSFH","99996","2015-10-31","157099.585637533"
"ZSFH","99996","2015-09-30","157037.972264372"
"ZSFH","99996","2015-08-31","157346.496829807"
"ZSFH","99996","2015-07-31","157275.326992455"
"ZSFH","99996","2015-06-30","156607.263960361"
"ZSFH","99996","2015-05-31","155091.52064961"
"ZSFH","99996","2015-04-30","153454.212882209"
"ZSFH","99996","2015-03-31","152125.565834783"
"ZSFH","99996","2015-02-28","151090.938129468"
"ZSFH","99996","2015-01-31","150353.071264888"
"ZSFH","99995","2015-12-31","323080.788239667"
"ZSFH","99995","2015-11-30","320363.950498688"
"ZSFH","99995","2015-10-31","317777.139540965"
"ZSFH","99995","2015-09-30","316099.121242708"
"ZSFH","99995","2015-08-31","315228.886870189"
"ZSFH","99995","2015-07-31","315762.986424147"
"ZSFH","99995","2015-06-30","316461.172436081"
"ZSFH","99995","2015-05-31","317386.544550501"
"ZSFH","99995","2015-04-30","316888.094160189"
"ZSFH","99995","2015-03-31","315362.519125762"
"ZSFH","99995","2015-02-28","313377.950571643"
"ZSFH","99995","2015-01-31","312129.821875599"
"ZSFH","99994","2015-12-31","133199.724447739"
"ZSFH","99994","2015-11-30","132802.923675627"
"ZSFH","99994","2015-10-31","132358.9065858"
"ZSFH","99994","2015-09-30","131469.435558056"
"ZSFH","99994","2015-08-31","130753.945610811"
"ZSFH","99994","2015-07-31","130415.853197321"
"ZSFH","99994","2015-06-30","129793.129381263"
"ZSFH","99994","2015-05-31","128847.729729269"
"ZSFH","99994","2015-04-30","127572.061544036"
"ZSFH","99994","2015-03-31","126535.265942295"
"ZSFH","99994","2015-02-28","126201.52930784"
"ZSFH","99994","2015-01-31","126143.576289586"
"ZSFH","99993","2015-12-31","133889.190341874"
"ZSFH","99993","2015-11-30","132966.312600077"
"ZSFH","99993","2015-10-31","132580.260951473"
"ZSFH","99993","2015-09-30","132083.25584976"
"ZSFH","99993","2015-08-31","131818.118822861"
"ZSFH","99993","2015-07-31","131358.546810635"
"ZSFH","99993","2015-06-30","130643.687917638"
"ZSFH","99993","2015-05-31","129788.62066623"
"ZSFH","99993","2015-04-30","128933.84512647"
"ZSFH","99993","2015-03-31","128309.214751774"
"ZSFH","99993","2015-02-28","128091.868033807"
"ZSFH","99993","2015-01-31","127890.950755404"
"ZSFH","99992","2015-12-31","174451.622017345"
"ZSFH","99992","2015-11-30","172714.515260424"
"ZSFH","99992","2015-10-31","171237.149468704"
"ZSFH","99992","2015-09-30","170593.73107836"
"ZSFH","99992","2015-08-31","170367.052641004"
"ZSFH","99992","2015-07-31","169984.586842733"
"ZSFH","99992","2015-06-30","168827.156304677"
"ZSFH","99992","2015-05-31","167420.337165791"
"ZSFH","99992","2015-04-30","165657.419924589"
"ZSFH","99992","2015-03-31","164246.202465598"
"ZSFH","99992","2015-02-28","163431.7140433"
"ZSFH","99992","2015-01-31","163531.958294711"
"ZSFH","99991","2015-12-31","268477"
"ZSFH","99991","2015-11-30","266571"
"ZSFH","99991","2015-10-31","264669"
"ZSFH","99991","2015-09-30","263557"
"ZSFH","99991","2015-08-31","262337"
"ZSFH","99991","2015-07-31","262128"
"ZSFH","99991","2015-06-30","262860"
"ZSFH","99991","2015-05-31","263133"
"ZSFH","99991","2015-04-30","263135"
"ZSFH","99991","2015-03-31","261081"
"ZSFH","99991","2015-02-28","259333"
"ZSFH","99991","2015-01-31","257665"
"ZSFH","99990","2015-12-31","192366"
"ZSFH","99990","2015-11-30","190530"
"ZSFH","99990","2015-10-31","188096"
"ZSFH","99990","2015-09-30","186127"
"ZSFH","99990","2015-08-31","183921"
"ZSFH","99990","2015-07-31","182375"
"ZSFH","99990","2015-06-30","181072"
"ZSFH","99990","2015-05-31","180175"
"ZSFH","99990","2015-04-30","178794"
"ZSFH","99990","2015-03-31","176804"
"ZSFH","99990","2015-02-28","174449"
"ZSFH","99990","2015-01-31","172764"
"ZSFH","9999","2015-12-31","156349.858420877"
"ZSFH","9999","2015-11-30","155145.564796157"
"ZSFH","9999","2015-10-31","153572.696823148"
