"indicator_id","region_id","date","value"
"ZSFH","99999","2006-12-31","198535"
"ZSFH","99999","2006-11-30","197924"
"ZSFH","99999","2006-10-31","196573"
"ZSFH","99999","2006-09-30","193744"
"ZSFH","99999","2006-08-31","189865"
"ZSFH","99999","2006-07-31","187126"
"ZSFH","99999","2006-06-30","187415"
"ZSFH","99999","2006-05-31","188323"
"ZSFH","99999","2006-04-30","188989"
"ZSFH","99999","2006-03-31","188116"
"ZSFH","99999","2006-02-28","186794"
"ZSFH","99999","2006-01-31","184637"
"ZSFH","99998","2006-12-31","185582"
"ZSFH","99998","2006-11-30","183277"
"ZSFH","99998","2006-10-31","180541"
"ZSFH","99998","2006-09-30","177900"
"ZSFH","99998","2006-08-31","176678"
"ZSFH","99998","2006-07-31","176427"
"ZSFH","99998","2006-06-30","175571"
"ZSFH","99998","2006-05-31","172994"
"ZSFH","99998","2006-04-30","170344"
"ZSFH","99998","2006-03-31","167668"
"ZSFH","99998","2006-02-28","165442"
"ZSFH","99998","2006-01-31","162702"
"ZSFH","99997","2006-12-31","156028"
"ZSFH","99997","2006-11-30","157452"
"ZSFH","99997","2006-10-31","156135"
"ZSFH","99997","2006-09-30","154185"
"ZSFH","99997","2006-08-31","153151"
"ZSFH","99997","2006-07-31","152534"
"ZSFH","99997","2006-06-30","152043"
"ZSFH","99997","2006-05-31","151035"
"ZSFH","99997","2006-04-30","150780"
"ZSFH","99997","2006-03-31","150262"
"ZSFH","99997","2006-02-28","149555"
"ZSFH","99997","2006-01-31","147310"
"ZSFH","99996","2006-12-31","136342"
"ZSFH","99996","2006-11-30","134397"
"ZSFH","99996","2006-10-31","133146"
"ZSFH","99996","2006-09-30","132200"
"ZSFH","99996","2006-08-31","131540"
"ZSFH","99996","2006-07-31","130417"
"ZSFH","99996","2006-06-30","129300"
"ZSFH","99996","2006-05-31","128413"
"ZSFH","99996","2006-04-30","127196"
"ZSFH","99996","2006-03-31","125721"
"ZSFH","99996","2006-02-28","123884"
"ZSFH","99996","2006-01-31","122302"
"ZSFH","99995","2006-12-31","296483.388345684"
"ZSFH","99995","2006-11-30","293448.555441219"
"ZSFH","99995","2006-10-31","290845.644429761"
"ZSFH","99995","2006-09-30","288205.644921865"
"ZSFH","99995","2006-08-31","285538.972135849"
"ZSFH","99995","2006-07-31","282657.23276996"
"ZSFH","99995","2006-06-30","280292.127709226"
"ZSFH","99995","2006-05-31","277535.764812242"
"ZSFH","99995","2006-04-30","274897.059701037"
"ZSFH","99995","2006-03-31","271024.571821238"
"ZSFH","99995","2006-02-28","267274.824329116"
"ZSFH","99995","2006-01-31","263163.984801673"
"ZSFH","99994","2006-12-31","125313"
"ZSFH","99994","2006-11-30","124586"
"ZSFH","99994","2006-10-31","123744"
"ZSFH","99994","2006-09-30","122942"
"ZSFH","99994","2006-08-31","122222"
"ZSFH","99994","2006-07-31","121398"
"ZSFH","99994","2006-06-30","120605"
"ZSFH","99994","2006-05-31","119228"
"ZSFH","99994","2006-04-30","117762"
"ZSFH","99994","2006-03-31","116011"
"ZSFH","99994","2006-02-28","114502"
"ZSFH","99994","2006-01-31","112990"
"ZSFH","99993","2006-12-31","133945"
"ZSFH","99993","2006-11-30","133367"
"ZSFH","99993","2006-10-31","132562"
"ZSFH","99993","2006-09-30","131874"
"ZSFH","99993","2006-08-31","131239"
"ZSFH","99993","2006-07-31","130857"
"ZSFH","99993","2006-06-30","129576"
"ZSFH","99993","2006-05-31","127949"
"ZSFH","99993","2006-04-30","125922"
"ZSFH","99993","2006-03-31","124547"
"ZSFH","99993","2006-02-28","123276"
"ZSFH","99993","2006-01-31","121987"
"ZSFH","99992","2006-12-31","162131"
"ZSFH","99992","2006-11-30","160708"
"ZSFH","99992","2006-10-31","159436"
"ZSFH","99992","2006-09-30","158931"
"ZSFH","99992","2006-08-31","158494"
"ZSFH","99992","2006-07-31","157754"
"ZSFH","99992","2006-06-30","156862"
"ZSFH","99992","2006-05-31","156080"
"ZSFH","99992","2006-04-30","156002"
"ZSFH","99992","2006-03-31","154147"
"ZSFH","99992","2006-02-28","151664"
"ZSFH","99992","2006-01-31","148739"
"ZSFH","99991","2006-12-31","193725"
"ZSFH","99991","2006-11-30","191162"
"ZSFH","99991","2006-10-31","188754"
"ZSFH","99991","2006-09-30","186492"
"ZSFH","99991","2006-08-31","185542"
"ZSFH","99991","2006-07-31","185346"
