"indicator_id","region_id","date","value"
"ZSFH","99999","2013-12-31","220527.035981731"
"ZSFH","99999","2013-11-30","218784.620562239"
"ZSFH","99999","2013-10-31","217352.075146001"
"ZSFH","99999","2013-09-30","215097.452142415"
"ZSFH","99999","2013-08-31","213132.690647609"
"ZSFH","99999","2013-07-31","210958.585671392"
"ZSFH","99999","2013-06-30","208882.436362474"
"ZSFH","99999","2013-05-31","205487.280388013"
"ZSFH","99999","2013-04-30","201375.831346143"
"ZSFH","99999","2013-03-31","197764.606099068"
"ZSFH","99999","2013-02-28","195384.738478323"
"ZSFH","99999","2013-01-31","193863.350005789"
"ZSFH","99998","2013-12-31","208655.557333961"
"ZSFH","99998","2013-11-30","209281.001113937"
"ZSFH","99998","2013-10-31","209977.12167552"
"ZSFH","99998","2013-09-30","209585.004414496"
"ZSFH","99998","2013-08-31","209181.480167049"
"ZSFH","99998","2013-07-31","208746.147168083"
"ZSFH","99998","2013-06-30","208079.602470503"
"ZSFH","99998","2013-05-31","207132.852240198"
"ZSFH","99998","2013-04-30","205575.981021961"
"ZSFH","99998","2013-03-31","204070.310099012"
"ZSFH","99998","2013-02-28","203314.929736735"
"ZSFH","99998","2013-01-31","203781.041773917"
"ZSFH","99997","2013-12-31","177337"
"ZSFH","99997","2013-11-30","176360"
"ZSFH","99997","2013-10-31","175552"
"ZSFH","99997","2013-09-30","175147"
"ZSFH","99997","2013-08-31","174625"
"ZSFH","99997","2013-07-31","173755"
"ZSFH","99997","2013-06-30","172282"
"ZSFH","99997","2013-05-31","171638"
"ZSFH","99997","2013-04-30","171105"
"ZSFH","99997","2013-03-31","170240"
"ZSFH","99997","2013-02-28","168264"
"ZSFH","99997","2013-01-31","167060"
"ZSFH","99996","2013-12-31","148449.152499215"
"ZSFH","99996","2013-11-30","149745.654967815"
"ZSFH","99996","2013-10-31","151005.530053564"
"ZSFH","99996","2013-09-30","151506.022974449"
"ZSFH","99996","2013-08-31","151728.952271922"
"ZSFH","99996","2013-07-31","151673.744931254"
"ZSFH","99996","2013-06-30","151654.026512879"
"ZSFH","99996","2013-05-31","151376.903005513"
"ZSFH","99996","2013-04-30","150741.852979102"
"ZSFH","99996","2013-03-31","149837.688174251"
"ZSFH","99996","2013-02-28","148669.559016202"
"ZSFH","99996","2013-01-31","148074.377994602"
"ZSFH","99995","2013-12-31","290914.262701371"
"ZSFH","99995","2013-11-30","289336.876310802"
"ZSFH","99995","2013-10-31","287036.777542936"
"ZSFH","99995","2013-09-30","285069.763111262"
"ZSFH","99995","2013-08-31","285027.260158603"
"ZSFH","99995","2013-07-31","284986.415427789"
"ZSFH","99995","2013-06-30","284481.808686597"
"ZSFH","99995","2013-05-31","282973.58082859"
"ZSFH","99995","2013-04-30","281645.180965841"
"ZSFH","99995","2013-03-31","280085.324180636"
"ZSFH","99995","2013-02-28","278482.024210643"
"ZSFH","99995","2013-01-31","277041.394553599"
"ZSFH","99994","2013-12-31","125475.942252049"
"ZSFH","99994","2013-11-30","126873.081782189"
"ZSFH","99994","2013-10-31","127762.133105697"
"ZSFH","99994","2013-09-30","127805.990795108"
"ZSFH","99994","2013-08-31","127553.699737342"
"ZSFH","99994","2013-07-31","127210.023836023"
"ZSFH","99994","2013-06-30","126989.195588695"
"ZSFH","99994","2013-05-31","126609.914678584"
"ZSFH","99994","2013-04-30","126225.242490806"
"ZSFH","99994","2013-03-31","125795.053999166"
"ZSFH","99994","2013-02-28","125377.119738305"
"ZSFH","99994","2013-01-31","125646.219403241"
"ZSFH","99993","2013-12-31","122764.200711327"
"ZSFH","99993","2013-11-30","123580.017471687"
"ZSFH","99993","2013-10-31","123820.125779056"
"ZSFH","99993","2013-09-30","123120.531832234"
"ZSFH","99993","2013-08-31","122428.420079944"
"ZSFH","99993","2013-07-31","121770.041162304"
"ZSFH","99993","2013-06-30","121164.632408575"
"ZSFH","99993","2013-05-31","120266.358350042"
"ZSFH","99993","2013-04-30","119140.612449301"
"ZSFH","99993","2013-03-31","118221.978423796"
"ZSFH","99993","2013-02-28","117740.643979749"
"ZSFH","99993","2013-01-31","118237.233792498"
"ZSFH","99992","2013-12-31","164604.189050176"
"ZSFH","99992","2013-11-30","165007.451773485"
"ZSFH","99992","2013-10-31","165116.241032109"
"ZSFH","99992","2013-09-30","165723.400083756"
"ZSFH","99992","2013-08-31","166534.781236898"
"ZSFH","99992","2013-07-31","167360.376644288"
"ZSFH","99992","2013-06-30","167427.248606403"
"ZSFH","99992","2013-05-31","166816.753557266"
"ZSFH","99992","2013-04-30","165510.628023806"
"ZSFH","99992","2013-03-31","164233.311050834"
"ZSFH","99992","2013-02-28","163570.498268726"
"ZSFH","99992","2013-01-31","163838.944343167"
"ZSFH","99991","2013-12-31","241840"
"ZSFH","99991","2013-11-30","242056"
"ZSFH","99991","2013-10-31","242600"
"ZSFH","99991","2013-09-30","243384"
"ZSFH","99991","2013-08-31","242602"
"ZSFH","99991","2013-07-31","241783"
"ZSFH","99991","2013-06-30","240225"
"ZSFH","99991","2013-05-31","238542"
"ZSFH","99991","2013-04-30","235768"
"ZSFH","99991","2013-03-31","233368"
"ZSFH","99991","2013-02-28","231388"
"ZSFH","99991","2013-01-31","229495"
"ZSFH","99990","2013-12-31","148262"
"ZSFH","99990","2013-11-30","146915"
"ZSFH","99990","2013-10-31","146797"
"ZSFH","99990","2013-09-30","146513"
"ZSFH","99990","2013-08-31","146648"
"ZSFH","99990","2013-07-31","145616"
"ZSFH","99990","2013-06-30","145508"
"ZSFH","99990","2013-05-31","144485"
"ZSFH","99990","2013-04-30","143680"
"ZSFH","99990","2013-03-31","142181"
"ZSFH","99990","2013-02-28","142608"
"ZSFH","99990","2013-01-31","142942"
"ZSFH","9999","2013-12-31","141366.123197815"
"ZSFH","9999","2013-11-30","141959.610059171"
"ZSFH","9999","2013-10-31","142481.207436204"
"ZSFH","9999","2013-09-30","143132.521088598"
"ZSFH","9999","2013-08-31","143662.973364829"
"ZSFH","9999","2013-07-31","143269.793489981"
"ZSFH","9999","2013-06-30","142738.063408646"
"ZSFH","9999","2013-05-31","142439.403487862"
"ZSFH","9999","2013-04-30","142845.740988943"
"ZSFH","9999","2013-03-31","142713.251651233"
"ZSFH","9999","2013-02-28","141797.422121569"
"ZSFH","9999","2013-01-31","141027.906029497"
"ZSFH","99989","2013-12-31","284098"
"ZSFH","99989","2013-11-30","281821"
"ZSFH","99989","2013-10-31","280083"
"ZSFH","99989","2013-09-30","277575"
"ZSFH","99989","2013-08-31","275860"
"ZSFH","99989","2013-07-31","275019"
"ZSFH","99989","2013-06-30","274624"
"ZSFH","99989","2013-05-31","273614"
"ZSFH","99989","2013-04-30","271531"
"ZSFH","99989","2013-03-31","269596"
"ZSFH","99989","2013-02-28","265533"
"ZSFH","99989","2013-01-31","261457"
"ZSFH","99988","2013-12-31","97651"
"ZSFH","99988","2013-11-30","97423"
"ZSFH","99988","2013-10-31","96816"
"ZSFH","99988","2013-09-30","96609"
"ZSFH","99988","2013-08-31","96202"
"ZSFH","99988","2013-07-31","95993"
"ZSFH","99988","2013-06-30","96264"
"ZSFH","99988","2013-05-31","96087"
"ZSFH","99988","2013-04-30","95926"
"ZSFH","99988","2013-03-31","95688"
"ZSFH","99988","2013-02-28","96206"
"ZSFH","99988","2013-01-31","96427"
"ZSFH","99987","2013-12-31","281210.167561639"
"ZSFH","99987","2013-11-30","280516.771328873"
"ZSFH","99987","2013-10-31","279167.325184015"
"ZSFH","99987","2013-09-30","278093.077116839"
"ZSFH","99987","2013-08-31","277702.689317446"
"ZSFH","99987","2013-07-31","277097.844723001"
"ZSFH","99987","2013-06-30","275806.676628863"
"ZSFH","99987","2013-05-31","273750.788275191"
"ZSFH","99987","2013-04-30","271256.849632115"
"ZSFH","99987","2013-03-31","267993.97200156"
"ZSFH","99987","2013-02-28","264886.448376128"
"ZSFH","99987","2013-01-31","261946.150560302"
"ZSFH","99986","2013-12-31","98857.9987860698"
"ZSFH","99986","2013-11-30","99170.3250834471"
"ZSFH","99986","2013-10-31","99440.0787268856"
"ZSFH","99986","2013-09-30","98661.9412527032"
"ZSFH","99986","2013-08-31","98347.2096193598"
"ZSFH","99986","2013-07-31","96967.7986167314"
"ZSFH","99986","2013-06-30","94798"
"ZSFH","99986","2013-05-31","93502"
"ZSFH","99986","2013-04-30","92422"
"ZSFH","99986","2013-03-31","91444"
"ZSFH","99986","2013-02-28","90800"
"ZSFH","99986","2013-01-31","90044"
"ZSFH","99985","2013-12-31","105218"
"ZSFH","99985","2013-11-30","105078"
"ZSFH","99985","2013-10-31","105124"
"ZSFH","99985","2013-09-30","104848"
"ZSFH","99985","2013-08-31","104457"
"ZSFH","99985","2013-07-31","104025"
"ZSFH","99985","2013-06-30","103077"
"ZSFH","99985","2013-05-31","102200"
"ZSFH","99985","2013-04-30","101530"
"ZSFH","99985","2013-03-31","101199"
"ZSFH","99985","2013-02-28","101099"
"ZSFH","99985","2013-01-31","100679"
"ZSFH","99984","2013-12-31","204569.17260636"
"ZSFH","99984","2013-11-30","205143.314680601"
"ZSFH","99984","2013-10-31","205511.363063789"
"ZSFH","99984","2013-09-30","205514.368213103"
"ZSFH","99984","2013-08-31","204873.882545338"
"ZSFH","99984","2013-07-31","203863.651354941"
"ZSFH","99984","2013-06-30","202579.102466723"
"ZSFH","99984","2013-05-31","201004.543271861"
"ZSFH","99984","2013-04-30","199029.59353553"
"ZSFH","99984","2013-03-31","197137.826918483"
"ZSFH","99984","2013-02-28","195926.652604071"
