"indicator_id","region_id","date","value"
"ZSFH","9999","1996-12-31","90222"
"ZSFH","9999","1996-11-30","90323"
"ZSFH","9999","1996-10-31","90650"
"ZSFH","9999","1996-09-30","90679"
"ZSFH","9999","1996-08-31","90686"
"ZSFH","9999","1996-07-31","90523"
"ZSFH","9999","1996-06-30","90289"
"ZSFH","9999","1996-05-31","90485"
"ZSFH","9999","1996-04-30","90376"
"ZSFH","9999","1996-03-31","90522"
"ZSFH","9999","1996-02-29","90226"
"ZSFH","9999","1996-01-31","90318"
"ZSFH","99965","1996-12-31","191466"
"ZSFH","99965","1996-11-30","187822"
"ZSFH","99965","1996-10-31","184748"
"ZSFH","99965","1996-09-30","182123"
"ZSFH","99965","1996-08-31","179721"
"ZSFH","99965","1996-07-31","177096"
"ZSFH","99965","1996-06-30","174781"
"ZSFH","99965","1996-05-31","173210"
"ZSFH","99965","1996-04-30","172228"
"ZSFH","99965","1996-03-31","171281"
"ZSFH","99965","1996-02-29","170851"
"ZSFH","99965","1996-01-31","169960"
"ZSFH","99964","1996-12-31","191859"
"ZSFH","99964","1996-11-30","188262"
"ZSFH","99964","1996-10-31","185212"
"ZSFH","99964","1996-09-30","182737"
"ZSFH","99964","1996-08-31","180108"
"ZSFH","99964","1996-07-31","177275"
"ZSFH","99964","1996-06-30","174648"
"ZSFH","99964","1996-05-31","172876"
"ZSFH","99964","1996-04-30","171750"
"ZSFH","99964","1996-03-31","170880"
"ZSFH","99964","1996-02-29","170466"
"ZSFH","99964","1996-01-31","169804"
"ZSFH","99963","1996-12-31","151764"
"ZSFH","99963","1996-11-30","149197"
"ZSFH","99963","1996-10-31","146866"
"ZSFH","99963","1996-09-30","144823"
"ZSFH","99963","1996-08-31","142959"
"ZSFH","99963","1996-07-31","141107"
"ZSFH","99963","1996-06-30","139273"
"ZSFH","99963","1996-05-31","137965"
"ZSFH","99963","1996-04-30","137234"
"ZSFH","99963","1996-03-31","136818"
"ZSFH","99963","1996-02-29","136694"
"ZSFH","99963","1996-01-31","136243"
"ZSFH","99962","1996-12-31","173462"
"ZSFH","99962","1996-11-30","170715"
"ZSFH","99962","1996-10-31","168510"
"ZSFH","99962","1996-09-30","166597"
"ZSFH","99962","1996-08-31","164491"
"ZSFH","99962","1996-07-31","162292"
"ZSFH","99962","1996-06-30","160251"
"ZSFH","99962","1996-05-31","159114"
"ZSFH","99962","1996-04-30","158496"
"ZSFH","99962","1996-03-31","158291"
"ZSFH","99962","1996-02-29","158169"
"ZSFH","99962","1996-01-31","157893"
"ZSFH","99961","1996-12-31","144754"
"ZSFH","99961","1996-11-30","142105"
"ZSFH","99961","1996-10-31","139749"
"ZSFH","99961","1996-09-30","137778"
"ZSFH","99961","1996-08-31","135829"
"ZSFH","99961","1996-07-31","133918"
"ZSFH","99961","1996-06-30","132032"
"ZSFH","99961","1996-05-31","130713"
"ZSFH","99961","1996-04-30","129928"
"ZSFH","99961","1996-03-31","129442"
"ZSFH","99961","1996-02-29","129245"
"ZSFH","99961","1996-01-31","128795"
"ZSFH","99960","1996-12-31","173162"
"ZSFH","99960","1996-11-30","170566"
"ZSFH","99960","1996-10-31","169286"
"ZSFH","99960","1996-09-30","168495"
"ZSFH","99960","1996-08-31","167594"
"ZSFH","99960","1996-07-31","165357"
"ZSFH","99960","1996-06-30","162632"
"ZSFH","99960","1996-05-31","160168"
"ZSFH","99960","1996-04-30","158535"
"ZSFH","99960","1996-03-31","157220"
"ZSFH","99960","1996-02-29","156826"
"ZSFH","99960","1996-01-31","155728"
"ZSFH","99959","1996-12-31","140981"
"ZSFH","99959","1996-11-30","140067"
"ZSFH","99959","1996-10-31","139766"
"ZSFH","99959","1996-09-30","139258"
"ZSFH","99959","1996-08-31","138424"
"ZSFH","99959","1996-07-31","137528"
"ZSFH","99959","1996-06-30","136375"
"ZSFH","99959","1996-05-31","133587"
"ZSFH","99959","1996-04-30","130917"
"ZSFH","99959","1996-03-31","128766"
"ZSFH","99959","1996-02-29","128333"
"ZSFH","99959","1996-01-31","126955"
