"indicator_id","region_id","date","value"
"ZSFH","99999","2008-12-31","219776"
"ZSFH","99999","2008-11-30","220347"
"ZSFH","99999","2008-10-31","220771"
"ZSFH","99999","2008-09-30","221228"
"ZSFH","99999","2008-08-31","221310"
"ZSFH","99999","2008-07-31","221684"
"ZSFH","99999","2008-06-30","220484"
"ZSFH","99999","2008-05-31","221028"
"ZSFH","99999","2008-04-30","221053"
"ZSFH","99999","2008-03-31","222485"
"ZSFH","99999","2008-02-29","222009"
"ZSFH","99999","2008-01-31","220783"
"ZSFH","99998","2008-12-31","189779"
"ZSFH","99998","2008-11-30","191628"
"ZSFH","99998","2008-10-31","193158"
"ZSFH","99998","2008-09-30","192929"
"ZSFH","99998","2008-08-31","192752"
"ZSFH","99998","2008-07-31","192306"
"ZSFH","99998","2008-06-30","192355"
"ZSFH","99998","2008-05-31","193154"
"ZSFH","99998","2008-04-30","193273"
"ZSFH","99998","2008-03-31","194189"
"ZSFH","99998","2008-02-29","193707"
"ZSFH","99998","2008-01-31","193852"
"ZSFH","99997","2008-12-31","156438"
"ZSFH","99997","2008-11-30","157608"
"ZSFH","99997","2008-10-31","160683"
"ZSFH","99997","2008-09-30","163041"
"ZSFH","99997","2008-08-31","164058"
"ZSFH","99997","2008-07-31","162312"
"ZSFH","99997","2008-06-30","159005"
"ZSFH","99997","2008-05-31","155780"
"ZSFH","99997","2008-04-30","153179"
"ZSFH","99997","2008-03-31","153334"
"ZSFH","99997","2008-02-29","153946"
"ZSFH","99997","2008-01-31","155003"
"ZSFH","99996","2008-12-31","140432"
"ZSFH","99996","2008-11-30","141432"
"ZSFH","99996","2008-10-31","142181"
"ZSFH","99996","2008-09-30","142253"
"ZSFH","99996","2008-08-31","141962"
"ZSFH","99996","2008-07-31","141547"
"ZSFH","99996","2008-06-30","141846"
"ZSFH","99996","2008-05-31","142258"
"ZSFH","99996","2008-04-30","142630"
"ZSFH","99996","2008-03-31","142991"
"ZSFH","99996","2008-02-29","142984"
"ZSFH","99996","2008-01-31","142747"
"ZSFH","99995","2008-12-31","306113.12766653"
"ZSFH","99995","2008-11-30","310349.07269319"
"ZSFH","99995","2008-10-31","314163.308567417"
"ZSFH","99995","2008-09-30","316606.40428629"
"ZSFH","99995","2008-08-31","318146.043832588"
"ZSFH","99995","2008-07-31","319926.517876915"
